index,actor,detail
2973,John Cleese,Hello? Ah* Mr Victim* I'm glad to say that I've got the go-ahead to lend you the money you require. Yes* of course we will want as security the deeds of your house* of your aunt's house* of your second cousin's house* of your wife's parents' house* and of your grannie's bungalow* and we will in addition need a controlling interest in your new company* unrestricted access to your private bank account* the deposit in our vaults of your three children as hostages and a full legal indemnity against any acts of embezzlement carried out against you by any members of our staff during the normal course of their duties... no* I'm afraid we couldn't accept your dog instead of your youngest child* we would like to suggest a brand new scheme of ours under which 51% of both your dog and your wife pass to us in the event of your suffering a serious accident. Fine. No* not at all* nice to do business with you.
2974,John Cleese,Ah* Mr Ford isn't it?
2975,John Cleese,How do you do. I'm a merchant banker.
2976,John Cleese,Er... I forget my name for the moment but I am a merchant banker.
2977,John Cleese,Well I don't want to show my hand too early* but actually here at Slater Nazi we are quite keen to get into orphans* you know* developing market and all that... what sort of sum did you have in mind?
2978,John Cleese,Yes* I am. Yes. Yes* very very rich. Quite phenomenally wealthy. Yes* I do own the most startling quantifies of cash. Yes* quite right... you're rather a smart young lad aren't you. We could do with somebody like you to feed the pantomime horse. Very smart.
2979,John Cleese,Now* you were saying. I'm very* very* very* very* very* very* very* very* very* very* very rich.
2980,John Cleese,A pound. Yes* I see. Now this loan would be secured by the...
2981,John Cleese,What?
2982,John Cleese,Ah.
2983,John Cleese,It's a bit small for a share certificate isn't it? Look* I think I'd better run this over to our legal department. If you could possibly pop back on Friday...
2984,John Cleese,Yes* but you see I don't know what it's for.
2985,John Cleese,Yes?
2986,John Cleese,A what?
2987,John Cleese,Oh a gift!
2988,John Cleese,A tax dodge.
2989,John Cleese,No? Well* I'm awfully sorry I don't understand. Can you just explain exactly what you want.
2990,John Cleese,No* no* no* I don't follow this at all* I mean* I don't want to seem stupid but it looks to me as though I'm a pound down on the whole deal.
2991,John Cleese,I am! Well* what is my incentive to give you the pound?
2992,John Cleese,Happy?... You quite sure you've got this right?
2993,John Cleese,What* just like that?
2994,John Cleese,Must be sick. I don't suppose you could give me a list of their names and addresses could you?
2995,John Cleese,Good lord! That's the most exciting new idea I've heard in years! It's so simple it's brilliant! Well* if that idea of yours isn't worth a pound I'd like to know what is.
2996,John Cleese,The only trouble is* you gave me the idea before I'd given you the pound. And that's not good business.
2997,John Cleese,No* I'm afraid it isn't. So* um* off you go.
2998,John Cleese,Nice to do business with you.
2999,Michael Palin,Anyway.
3000,John Cleese,And off we go again.
3001,John Cleese,Ah Miss Godfrey could yould send in the pantomime horses please.
3002,John Cleese,Now I've asked you to ...
3003,John Cleese,No* I'm afraid there's no redundancy scheme.
3004,John Cleese,Pang! Right in the toast. A brief struggle and all is over. Poor breakfast! Another victim of the.... aargh!
3005,John Cleese,Sketch just starting* actor wanted.
3006,Michael Palin,Come in* Mr Horton.
3007,Michael Palin,Do - do sit down.
3008,Michael Palin,Now then Horton* you've been with us for twenty years* and your work in the accounts department has been immaculate
3009,Michael Palin,... has undermined the competence of this firm to such a point that I'm afraid that I've got no option but to sack you.
3010,Michael Palin,Good evening. Well tonight* we are going to talk about... well that is... I am going to talk about... well actually I am talking about it now... well I'm not talking about it now* but I am talking... I know I'm pausing occasionally* and not talking during the pauses* but the pauses are part of the whole process of talking... when one talks one has to pause... er ... like then! I paused ... but I was still talking ... and again there! No the real point of what I'm saying is that when I appear not to be talking don't go nipping out to the kitchen* putting the kettle on ... buttering scones... or getting crumbs and bits of food out of those round brown straw mats that the teapot goes on... because in all probability I'm still talking and what you heard was a pause ... er ... like there again. Look! To make it absolutely easier* so there's no problem at all* what I'll do* I'll give you some kind of sign* like this
3011,Michael Palin,All right?
3012,Michael Palin,No* no! No sorry - just demonstrating... haven't finished. Haven't started yet.
3013,Michael Palin,Tonight I want to talk about...
3014,Michael Palin,... with a large piece of wet paper.
3015,John Cleese,Good evening* I'm the announcer who's just been given this job by the BBC and I'd just like to say how grateful I am to the BBC for providing me with work* particularly at this time of year* when things are a bit thin for us announcers... um... I don't know whether I should tell you this* but* well* I have been going through a rather tough time recently. Things have been pretty awful at home. My wife* Josephine... 'Joe-jums' as I call her ... who is also an announcer...
3016,John Cleese,... has not been able to announce since our youngest* Clifford* was born* and* well*
3017,Michael Palin,Hello* I'm another announcer* my name's Dick. Joe-jums just rang me and said Jack was having a bad time with this announcement* so I've just come to give him a hand. How is he* Joe-jums?
3018,Michael Palin,Jack... it's Dick... Do you want me to make the announcement?
3019,John Cleese,No* no Dick. I must do it myself...
3020,John Cleese,it's my last chance with the BBC* I can't throw it away... I've got to do it ... for Joe-jums... for the kids... I've got to go through with it...
3021,Michael Palin,Good man. Now remember your announcer's training: deep breaths* and try not to think about what you're saying...
3022,John Cleese,Good evening. This
3023,John Cleese,is BBC 1...
3024,Michael Palin,Keep going* old boy.
3025,John Cleese,It's... nine o'clock... and... time... for... the News... read by... Richard Baker.
3026,Michael Palin,Congratulations* old man!
3027,John Cleese,Thank God.
3028,Michael Palin,... have a drink. For God's sake drink this...
3029,John Cleese,Fantastic.
3030,Michael Palin,The least I could do - super - I must come over.
3031,John Cleese,I can't tell you how much that means.
3032,John Cleese,And now the English pantomime horse has very nearly caught up with the Russian pantomime horse* I think he's going to take him any moment now but what is this? What is this?
3033,John Cleese,My goodness me it's the Duke of Kent to the rescue...
3034,John Cleese,Here you see some English comic actors engaged in a life or death struggle with a rather weak ending. This is typical of the zany madcap world of the irresistible kooky funsters. The English pantomime horse wins and so is assured of a place in British history and a steady job in a merchant bank. Unfortunately* before his pension rights are assured* he catches bronchitis and dies* another victim of the need to finish these shows on time.
3035,John Cleese,And now...
3036,Michael Palin,It's...
3037,John Cleese,Monty Python's Flying Circuses...
3038,Michael Palin,Er* well* Swann* Swann* there's this house* there's this house* and er* it's in the morning* it's in the morning - no* it's the evening* in the evening and er* there's a garden and er* this bloke comes in - bloke comes in - what's his name - what's his name* er just said it - big bloke - Swann* Swann
3039,Michael Palin,Mount Everest. Forbidding. Aloof. Terrifying. The mountain with the biggest tits in the world.
3040,Michael Palin,Mount Everest. Forbidding. Aloof. Terrifying. This year* this remote Himalayan mountain* this mystical temple* surrounded by the most difficult terrain in the world* repulsed yet another attempt to conquer it. This time* by the International Hairdresser's Expedition.
3041,Michael Palin,In such freezing* adverse conditions* man comes very close to breaking point. What was the real cause of the disharmony which destroyed their chances at success?
3042,Michael Palin,Well* people would keep taking my hairdryer and never returning it.
3043,Michael Palin,The leader of the expedition was Colonel Sir John 'Teasy-Weasy' Butler* veteran of K2* Annapurna* and Vidals. His plan was to ignore the usual route around the South Col and to make straight for the top.
3044,Michael Palin,Could it work? Could this eighteen-year old hairdresser from Brixton succeed where others had failed? The situation was complicated by the imminent arrival of the monsoon storms. Patrice takes up the story.
3045,Michael Palin,After a blazing row* the Germans and Italians had turned back* taking with them the last of the hair nets. On the third day a blizzard blew up.
3046,Michael Palin,Temperatures fell to minus thirty centigrade. Inside the little tent* things were getting desperate.
3047,Michael Palin,Well* things have got so bad that we've been forced to use the last of the heavy oxygen equipment just to keep the dryers going.
3048,Michael Palin,Oh* she's a treas.
3049,Michael Palin,But a new factor had entered the race. A team of French chiropodists* working with brand new cornplasters and Doctor Scholl's Mountaineering Sandals* were covering ground fast. The Glasgow Orpheus Male Voice Choir were tackling the difficult North Col.
3050,Michael Palin,were at his heels. This was it. Ricky had to make a decision.
3051,Michael Palin,It was a tremendous success.
3052,Michael Palin,No* sorry* wrong number.
3053,Michael Palin,No* no* you put them in separately when the vine leaves are ready.
3054,John Cleese,Here* let me try* dear. You go and play the cello.
3055,John Cleese,Look. Do you want the little hamster to live or not?
3056,John Cleese,Well go and play the cello!
3057,John Cleese,Hello* hello* operator? Yes we're trying to get the fire brigade ... No* the fire brigade. Yes* yes* yes* yes* yes* yes* yes* yes* yes* yes* what? ...
3058,John Cleese,Size eight. Yes* yes* yes* yes* yes* yes* no of course not* Yes...
3059,John Cleese,What?
3060,John Cleese,Oh no!! What were you playing?
3061,John Cleese,What... How did he... ?
3062,John Cleese,Right* you hang on. I must go and see him.
3063,John Cleese,I'm going upstairs* I can't bear it.
3064,John Cleese,Damn.
3065,John Cleese,No! They'd be useless!
3066,John Cleese,Hello* Eamonn.
3067,John Cleese,How was Dublin?
3068,John Cleese,Size seven. Yes* yes* yes* yes* yes .... it's the fire brigade* they want to know if they can come round Thursday evening.
3069,Michael Palin,And so it was the fire brigade eventually came round on Friday night.
3070,Michael Palin,Well I'll go* I'll go to the foot of our stairs. Ee ecky thump. Put wood in 'ole* muther.
3071,Michael Palin,Yes?
3072,Michael Palin,Ee ecky thump.
3073,Michael Palin,Ee ecky thump!
3074,Michael Palin,Thank you* sir.
3075,Michael Palin,Can you smell gas or is it me?
3076,John Cleese,Looks jolly good.
3077,John Cleese,Superb.
3078,John Cleese,Well* er* really something to make me a little less insignificant?
3079,John Cleese,Oh no* no* no* not really no.
3080,John Cleese,Oh no* I really want something that will make people be attracted to me like a magnet.
3081,John Cleese,What's that?
3082,John Cleese,Fantastic* yes.
3083,Michael Palin,Mount Everest* forbidding* aloof* terrifyring. The highest place on earth. No I'm sorry we don't go there. No.
3084,Michael Palin,Ah good morning. I'm Bounder of Adventure.
3085,Michael Palin,What?
3086,Michael Palin,Well you'd better cut down a little then.
3087,Michael Palin,You'd better cut down a little then.
3088,Michael Palin,Yes* he he...I expect you get people making jokes about your name all the time* eh?
3089,Michael Palin,Anyway* you're interested in one of our adventure holidays* eh?
3090,Michael Palin,The what?
3091,Michael Palin,The colour supplement?
3092,Michael Palin,C?
3093,Michael Palin,A cat?
3094,Michael Palin,Can you say the letter 'K'?
3095,Michael Palin,Why don't you say the letter 'K' instead of the letter 'C'?
3096,Michael Palin,Yes.
3097,Michael Palin,Anyway* about the holiday..
3098,Michael Palin,Ah good.
3099,Michael Palin,Yes. Absolutely* yes* I quite agree...
3100,Michael Palin,Yes* yes* now...
3101,Michael Palin,Will you be quiet please.
3102,Michael Palin,Shut up.
3103,Michael Palin,Shut up!
3104,Michael Palin,Shut up!!!
3105,Michael Palin,Shut your bloody gob! I've had enough of this* I'm going to ring the police.
